705074.14694, 3,   0.380,  9.830, -1.804, 5,  21.964,-45.821, 28.633
705074.16681, 3,   0.380,  9.830, -1.804, 4,  -0.006, -0.020, -0.037, 5,  21.944,-46.529, 26.457
705074.18671, 3,   0.476,  9.768, -2.020, 4,  -0.006, -0.020, -0.037, 5,  21.277,-46.544, 26.456
705074.20657, 3,   0.615,  9.734, -2.084, 4,  -0.006, -0.020, -0.037, 5,  25.922,-47.865, 29.372
705074.22644, 3,   0.555,  9.760, -2.084, 4,  -0.011, -0.048, -0.003, 5,  25.972,-45.728, 30.818
705074.24631, 3,   0.412,  9.744, -2.003, 4,  -0.011, -0.037, -0.010, 5,  27.927,-47.823, 32.281
705074.26617, 3,   0.431,  9.763, -2.077, 4,  -0.010, -0.013, -0.016, 5,  27.960,-46.399, 33.003
705074.28601, 3,   0.471,  9.770, -2.142, 4,  -0.010, -0.005, -0.021, 5,  23.999,-44.347, 29.359
705074.30588, 3,   0.467,  9.760, -2.070, 4,  -0.013, -0.013, -0.024, 5,  26.688,-43.568, 29.362
705074.32574, 3,   0.488,  9.753, -2.108, 4,  -0.017, -0.014, -0.029, 5,  23.982,-45.059, 28.635
705074.34561, 3,   0.562,  9.729, -2.139, 4,  -0.020, -0.019, -0.032, 5,  24.635,-45.758, 30.092
705074.36548, 3,   0.581,  9.729, -2.132, 4,  -0.023, -0.032, -0.038, 5,  24.619,-46.471, 29.366
705074.38535, 3,   0.529,  9.739, -2.101, 4,  -0.026, -0.040, -0.046, 5,  23.332,-44.362, 29.359
705074.40521, 3,   0.325,  9.748, -2.067, 4,  -0.029, -0.035, -0.052, 5,  24.617,-46.469, 28.639
705074.42508, 3,   1.182,  9.598, -2.914, 4,  -0.031, -0.029, -0.059, 5,  24.617,-46.469, 28.639
705074.44495, 3,   0.017,  9.667, -1.297, 4,  -0.035, -0.010, -0.065, 5,  25.304,-45.743, 30.093
705074.46484, 3,  -0.201,  9.684, -1.424, 4,  -0.051,  0.084, -0.070, 5,  23.984,-45.062, 30.089
705074.48468, 3,   0.790,  9.779, -3.192, 4,  -0.043,  0.041, -0.075, 5,  24.617,-46.469, 28.639
705074.50455, 3,   0.404,  9.588, -2.316, 4,  -0.031, -0.038, -0.074, 5,  24.652,-45.044, 29.362
705074.52441, 3,  -0.416,  9.839, -0.385, 4,  -0.046, -0.019, -0.084, 5,  25.952,-46.437, 28.641
705074.54428, 3,   0.074,  9.957, -2.024, 4,  -0.054,  0.007, -0.091, 5,  24.632,-45.753, 27.913
705074.56415, 3,   0.249,  9.559, -3.661, 4,  -0.029, -0.184, -0.087, 5,  24.602,-47.182, 28.642
705074.58402, 3,   0.239,  9.567, -2.201, 4,  -0.022, -0.259, -0.097, 5,  25.304,-45.741, 29.366
705074.60388, 3,   0.132,  9.808, -0.790, 4,  -0.050, -0.087, -0.097, 5,  25.970,-45.726, 30.093
705074.62375, 3,  -0.074, 10.016, -1.572, 4,  -0.059,  0.008, -0.091, 5,  25.986,-45.010, 28.638
705074.64362, 3,  -0.383,  9.753, -2.221, 4,  -0.032, -0.033, -0.101, 5,  24.635,-45.757, 29.364
